lat,lon,sat
58,16,133.9926
59,16,124.6755
60,16,130.9498
61,16,177.5113
62,16,242.5313
63,16,233.7185
64,16,160.6164
65,16,173.4657
66,16,197.6985
67,16,227.7735
68,16,187.3434
69,16,179.4505
70,16,178.866
71,16,175.6026
72,16,183.4289
73,16,200.427
74,16,205.443
75,16,217.3709
76,16,226.5203
77,16,231.4684
78,16,233.3131
79,16,233.6484
80,16,237.4021
81,16,248.586
82,16,259.748
83,16,272.7327
84,16,271.5873
85,16,284.828
86,16,285.4014
87,16,283.4047
88,16,276.6732
89,16,263.3172
90,16,252.3241
91,16,245.4515
92,16,246.3292
93,16,248.0338
94,16,233.8674
95,16,229.5654
96,16,227.8344
97,16,227.4751
98,16,227.3131
0,17,-9999
1,17,-9999
2,17,-9999
3,17,-9999
4,17,-9999
5,17,-9999
6,17,-9999
7,17,-9999
8,17,-9999
9,17,-9999
10,17,-9999
11,17,-9999
12,17,-9999
13,17,-9999
14,17,-9999
15,17,-9999
16,17,-9999
17,17,-9999
18,17,-9999
19,17,145.4937
20,17,144.6916
21,17,146.282
22,17,150.7693
23,17,158.2374
24,17,154.8238
25,17,138.8035
26,17,104.1951
27,17,95.22183
28,17,91.93948
29,17,104.7977
30,17,111.4118
31,17,116.2742
32,17,119.1172
33,17,123.849
34,17,128.5368
35,17,126.0001
36,17,129.0052
37,17,151.1541
38,17,159.9048
39,17,158.3153
40,17,167.4458
41,17,168.993
42,17,164.8772
43,17,143.5791
44,17,132.2749
45,17,190.5214
46,17,213.2785
47,17,227.9172
48,17,265.9872
49,17,272.5107
50,17,253.9681
51,17,226.9073
52,17,214.5085
53,17,212.7728
54,17,212.3087
55,17,201.3377
56,17,177.1187
57,17,161.0855
